,adapt,adp_v,avg_rate,fast_trough_t,fast_trough_v,fi_fit_slope,first_isi,input_resistance,isi_cv,latency,mean_isi,median_isi,peak_t,peak_v,rheo_first_isi,rheobase_i,sag,stim_amp,tau,threshold_v,trough_t,trough_v,upstroke_downstroke_ratio,v_baseline,vm_for_sag,width
654180841,,,2.0000400008000163,0.6754600000000001,-56.28125381469727,0.07548539217763296,0.07159999999999989,103.90609502792358,0.0,0.07918000000000003,0.07159999999999989,0.07159999999999989,0.67296,47.53125,,160.0,0.006633982062339783,200.0,0.026644391095405232,-43.9375,0.7630600000000001,-59.28125381469727,3.754306945615372,-78.88212738037109,-90.03125,0.0009799999999999807
660494076,0.007609226165398404,,31.00062001240025,0.7048800000000001,-61.00000381469727,0.3866191067897188,0.02311999999999981,377.81256437301636,0.0850879846312245,0.01730000000000009,0.031822,0.032340000000000035,0.7023599999999999,41.625,0.17964000000000002,10.0,0.07750887423753737,50.0,0.023434516547432598,-42.25000381469727,0.7060599999999999,-61.96875,2.432626861541175,-65.31661262512208,-99.21875762939452,0.0010599999999998386
665694337,0.05437475604582959,,6.000120002400049,0.74428,-48.03125,0.1133534507001874,0.11819999999999985,72.34378904104233,0.13739244779659476,0.08844000000000007,0.16024399999999994,0.16777999999999982,0.7420800000000001,52.43750381469727,0.68394,230.0,0.024623706936836243,270.0,0.012586816575564557,-34.906253814697266,0.7925,-50.03125381469727,3.454538443769128,-76.80438553659539,-85.21875762939453,0.0009600000000000721
665711442,0.05332328077360279,,9.000180003600073,0.79074,-62.5,0.1548460288577499,0.06169999999999986,93.90628337860107,0.1840283864962329,0.06692000000000009,0.1057225,0.10685999999999997,0.7884599999999999,35.5,0.6957399999999999,130.0,0.018437381833791733,170.0,0.02113320623527024,-49.34375381469727,0.84754,-65.125,3.2167861700250957,-87.87670551646839,-100.37500762939452,0.0010200000000000207
665713811,0.035315691226633354,-48.25,8.000160003200065,0.7027399999999999,-49.59375381469727,0.10821645004328656,0.08723999999999997,81.40628784894945,0.12323051438545818,0.08396000000000002,0.12425142857142855,0.12960000000000016,0.7005600000000001,45.78125,0.39354,190.0,0.050025109201669686,230.0,0.011937319464305615,-36.59375,0.74702,-52.40625,3.0088557176869517,-80.62108968098958,-90.4375,0.000980000000000203
666155913,,,2.0000400008000163,0.6013200000000001,-48.78125381469727,0.09184394214200073,0.06834000000000008,134.68749821186066,0.0,0.04173999999999989,0.06834000000000008,0.06834000000000008,0.59842,43.9375,,100.0,0.15557949244976044,140.0,0.020347053575680025,-37.53125381469727,0.6465000000000001,-50.43750381469727,3.0058560685924807,-65.52775435014205,-79.65625,0.001100000000000101
672184275,,,1.0000200004000082,0.67292,-64.03125,0.02856502888450922,,62.499847263097756,,0.07678000000000007,,,0.67032,33.125003814697266,,260.0,0.103511281311512,300.0,0.0171519733006071,-50.93750381469727,0.72668,-68.59375762939453,3.4172508500199728,-87.35009574890137,-94.87500762939452,0.001100000000000101
672299031,0.03698261798051327,,11.000220004400088,0.72682,-52.53125381469727,0.14124647975193008,0.048540000000000035,171.25000059604642,0.16951546847210208,0.05562,0.086646,0.09189999999999998,0.7250000000000001,47.87500381469727,0.41082,70.0,0.1500103920698166,110.0,0.020060439448805284,-37.78125381469727,0.7683399999999999,-52.84375381469727,3.1682331586589063,-72.41638310750325,-92.93750762939452,0.0008799999999999918
672646275,0.07787036740270609,,17.000340006800133,0.63734,-37.90625,0.17643209871496582,0.007819999999999938,263.5937333106994,0.477289059054124,0.03937999999999997,0.05699625,0.0670900000000001,0.6341399999999999,49.53125,0.009679999999999913,29.99999809265137,0.0462145172059536,70.0,0.03137591418634792,-35.34375,0.63758,-38.03125,4.003741177160491,-65.06089505282316,-97.96875762939452,0.0012199999999999989
672650722,0.06275038292544192,-46.40625,8.000160003200065,0.67384,-47.0625,0.07780327800074124,0.06245999999999996,64.84375149011612,0.19953461666206496,0.07733999999999996,0.12141142857142855,0.12936000000000014,0.6714199999999999,46.53125381469727,0.33773999999999993,200.0,0.04436367005109787,239.9999847412109,0.01667787954657688,-35.875,0.7190399999999999,-51.21875,2.7255153721615515,-80.88601303100586,-88.96875,0.0008399999999999519
674613931,0.07466503619290435,,8.000160003200065,0.6571799999999999,-53.28125,0.10560556038706988,0.055600000000000094,104.374997317791,0.2371747745273141,0.07055999999999996,0.11955142857142854,0.1323599999999998,0.6552199999999999,47.40625381469727,,140.0,0.026793129742145542,180.0,0.018330846283707156,-37.78125381469727,0.6573599999999999,-53.4375,3.050943486682816,-78.03318557739256,-91.12500762939452,0.0007999999999999119
674615724,0.027190913452989664,,10.000200004000082,0.6151599999999999,-62.00000381469727,0.12357391139643505,0.06655999999999995,99.3751510977745,0.12478802044754872,0.05274000000000001,0.09623333333333332,0.10067999999999988,0.6132599999999999,21.468751907348636,0.34752000000000005,80.0,0.037122838199138634,119.99999237060548,0.033585920939004664,-50.15625,0.6370600000000001,-66.15625,2.174529506011766,-82.2943099975586,-99.6875,0.0008000000000001339
